,price,mileage,oneowner,is_gas,is_diesel,is_electric,age,is_auto,is_cvt,is_manual,engine_L,is_PDI,is_GDI,is_MPFI,is_DOHC,engine_V_12V,engine_V_16V,engine_V_24V,engine_V_32V,engine_V_48V,engine_V_Others,drivetrain_2,drivetrain_4,drivetrain_Others,population,make_Acura,make_Alfa,make_Aston,make_Audi,make_BMW,make_Bentley,make_Buick,make_Cadillac,make_Chevrolet,make_Chrysler,make_Dodge,make_Ferrari,make_Ford,make_GMC,make_Genesis,make_Honda,make_Hyundai,make_INFINITI,make_Jaguar,make_Jeep,make_Kia,make_Lamborghini,make_Land,make_Lexus,make_Lincoln,make_Lotus,make_MINI,make_Maserati,make_Mazda,make_McLaren,make_Mercedes-Benz,make_Mercury,make_Mitsubishi,make_Nissan,make_Plymouth,make_Pontiac,make_Porsche,make_RAM,make_Rolls-Royce,make_Saturn,make_Scion,make_Subaru,make_Suzuki,make_Tesla,make_Toyota,make_Volkswagen,make_Volvo,make_smart
1515,15750.0,19001,1,1,0,0,2,1,0,0,3.6,0,0,1,1,0,0,1,0,0,0,1,0,0,52606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2191,29917.0,13281,3,1,0,0,2,1,1,0,1.5,0,1,0,1,0,1,0,0,0,0,1,0,0,27582.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,10995.0,121111,1,1,0,0,5,1,0,0,2.0,0,0,1,1,0,1,0,0,0,0,0,1,0,49905.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2102,10999.0,72611,1,1,1,0,10,1,0,0,3.6,0,1,0,1,0,0,1,0,0,0,0,1,0,34338.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,35690.0,50954,1,1,0,0,3,1,0,0,3.5,0,1,0,0,0,0,1,0,0,0,1,0,0,44300.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,54995.0,21272,1,1,0,0,2,1,0,0,3.0,0,1,0,1,0,0,1,0,0,0,1,0,0,42678.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2249,161736.0,31527,0,1,0,0,7,1,0,0,6.6,0,1,0,1,0,0,0,0,1,0,0,1,0,35825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
234,49729.0,14183,0,1,0,0,4,1,0,0,5.3,0,1,0,0,0,1,0,0,0,0,1,0,0,38374.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,42789.0,13165,3,1,0,0,1,1,0,0,2.0,0,1,0,0,0,1,0,0,0,0,1,0,0,22538.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,29995.0,34909,1,1,0,0,3,1,0,0,3.6,0,1,0,1,0,0,1,0,0,0,0,1,0,8890.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
